times,lightning,livfree,aperture,fubar,pumpty,rugreasy,721mcd,08,coyote,10,rhombus,12,dragula1313,14,15,16,17,18,19,20
M5441840,18,5,32,20,18,11,18,2,17,1,16,1,6,1,1,2,3,1,1,1
M5451841,18,5,32,20,18,11,18,2,17,1,16,1,6,1,1,2,3,1,1,1
M5461842,18,5,32,20,18,11,18,2,17,1,16,1,6,1,1,2,3,1,1,1
M5471843,18,5,32,20,18,11,18,2,17,1,16,1,6,1,1,2,3,1,1,1
M5481844,18,5,32,20,18,11,18,2,17,1,16,1,6,1,1,2,3,1,1,1
M5491845,18,5,32,20,18,11,18,2,17,1,16,1,6,1,1,2,3,1,1,2
M5501846,18,5,32,20,18,11,18,2,17,1,16,1,6,1,1,2,3,1,1,2
M5511847,18,5,32,20,18,11,18,2,17,1,16,1,6,1,1,2,3,1,1,2
M5521848,18,5,32,20,18,11,18,2,17,1,16,1,6,1,1,2,3,1,1,2
M5531849,18,5,32,20,18,11,18,2,17,1,16,1,6,1,1,2,3,1,1,2
M5541850,18,5,32,20,18,11,18,2,17,1,16,1,6,1,1,2,3,1,1,2
M5551851,18,5,32,20,18,11,18,2,17,1,16,1,6,1,1,2,3,1,1,2
M5561852,18,5,32,20,18,11,18,2,17,1,16,1,6,1,1,2,3,1,1,2
M5571853,18,5,32,20,18,11,18,2,17,1,16,1,6,1,1,2,3,1,1,2
M5581854,18,5,32,20,18,11,18,2,18,1,16,1,6,1,1,2,3,1,1,2
M5591855,18,5,32,20,18,11,18,2,18,1,16,1,6,1,1,2,3,1,1,2
M5601856,18,5,32,20,18,11,18,2,18,1,16,1,6,1,1,2,3,1,1,2
M5611857,18,5,32,20,18,11,18,2,18,1,16,1,6,1,1,2,3,1,1,2
M5621858,18,5,32,20,18,11,18,2,18,1,16,1,6,1,1,2,3,1,1,2
M5631859,18,5,32,20,18,11,18,2,18,1,16,1,6,1,1,2,3,1,1,2
M5641860,18,5,32,20,18,11,18,2,18,1,16,1,6,1,1,2,3,1,1,2
M5651861,18,5,32,20,18,11,18,2,19,1,16,1,6,1,1,2,3,1,1,2
M5661862,18,5,32,20,18,11,18,2,19,1,16,1,6,1,1,2,3,1,1,2
M5671863,18,5,32,20,18,11,18,2,19,1,16,1,6,1,1,2,3,1,1,2
M5681864,18,5,32,20,18,11,18,2,19,1,16,1,6,1,1,2,3,1,1,2
M5691865,18,5,32,20,18,11,18,2,19,1,16,1,6,1,1,2,3,1,1,2
M5701866,18,5,32,20,18,11,18,2,19,1,16,1,6,1,1,2,3,1,1,2
M5711867,18,5,32,20,18,11,18,2,19,1,16,1,6,1,1,2,3,1,1,2
M5721868,18,5,32,20,18,11,18,2,19,1,16,1,6,1,1,2,3,1,1,2
M5731869,19,5,32,20,18,11,18,2,19,1,16,1,6,1,1,2,3,1,1,2
M5741870,19,5,32,20,18,11,19,2,19,1,16,1,6,1,1,2,3,1,1,2
M5751871,19,5,32,20,18,11,19,2,19,1,16,1,6,1,1,2,3,1,1,2
M5761872,19,5,32,20,18,11,19,2,19,1,16,1,6,1,1,2,3,1,1,2
M5771873,19,5,32,20,18,11,19,2,19,1,16,1,6,1,1,2,3,1,1,2
M5781874,19,5,32,20,18,11,19,2,19,1,16,1,6,1,1,2,3,1,1,2
M5791875,19,5,32,20,18,11,19,2,19,1,16,1,6,1,1,2,3,1,1,2
M5801876,19,5,32,20,18,11,19,2,19,1,16,1,6,1,1,2,3,1,1,2
M5811877,19,5,32,20,18,11,19,2,19,1,16,1,6,1,1,2,3,1,1,2
M5821878,19,5,32,20,18,11,19,2,19,1,16,1,6,1,1,2,3,1,1,2
M5831879,19,5,32,20,18,11,19,2,19,1,16,1,6,1,1,2,3,1,1,2
M5841880,19,5,32,20,18,11,19,2,19,1,16,1,6,1,1,2,3,1,1,2
M5851881,19,5,32,20,18,11,19,2,19,1,16,1,6,1,1,2,3,1,1,2
M5861882,20,5,32,20,18,11,19,2,19,1,16,1,6,1,1,2,3,1,1,2
M5871883,20,5,32,20,18,11,19,2,19,1,16,1,6,1,1,2,3,1,1,2
M5881884,20,5,32,20,21,11,19,2,19,1,16,1,6,1,1,2,3,1,1,2
M5891885,20,5,32,20,25,11,20,2,19,1,16,1,6,1,1,2,3,1,1,2
M5901886,20,5,32,20,28,11,20,2,19,1,16,1,6,1,1,2,3,1,1,2
