times,lightning,livfree,aperture,fubar,pumpty,rugreasy,721mcd,08,coyote,10,rhombus,12,dragula1313,14,15,16,17,18,19,20
M300030,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
M310031,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
M320032,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
M330033,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
M340034,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
M350035,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
M360036,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
M370037,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
M380038,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
M390039,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
M10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M20002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M30003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M40004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M50005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M60006,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M70007,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M80008,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M90009,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M100010,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M110011,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M120012,1,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M130013,1,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M140014,1,2,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M150015,1,2,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M160016,1,2,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M170017,1,2,2,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M180018,1,2,2,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M20002,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M20002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M30003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M40004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M50005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M60006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M70007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M80008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M90009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M100010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M110011,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M120012,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M130013,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M140014,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M150015,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M160016,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M170017,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M180018,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
